"","ringnr","X","ID","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal","tarsus_length","body_mass","lBM","lTL","lGT"
"939","8M31941",2139,2139,"f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,2,0.5,1,"27 2010","8M31941",18.97,30.96,3.43269604872153,2.94285878394692,0
"940","8M31943",2140,2140,"m",28,1,"Indre-Kvarøy",2010,2011,0,2,2,1,1,2,1,1,"28 2010","8M31943",18.5775,28.2,3.33932197794407,2.92195117104949,0
"941","8M31969",2145,2145,"f",27,1,"Hestmannøy",2010,2011,0,2,2,1,1,2,1,1,"27 2010","8M31969",19.92,33.5,3.51154543883102,2.99172425215645,0
"942","8M31973",2147,2147,"f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M31973",19.57,32.2,3.47196645255036,2.97399778140798,0
"943","8M31993",2149,2149,"f",22,2,"Myken",2010,2011,0,1,1,1,1,1,1,1,"22 2010","8M31993",19.675,30.55,3.4193646856176,2.97934879430347,0
"944","8M71077",2158,2158,"m",26,1,"Gjerøy",2010,2012,0,1,1,1,1,2,0.5,1,"26 2010","8M71077",20.175,32.8,3.4904285153901,3.00444421415601,0
"945","8M71089",2163,2163,"m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M71089",20.275,33.1,3.49953328238302,3.00938860000148,0
"946","8M71098",2168,2168,"m",27,1,"Hestmannøy",2010,2012,0,3,3,1,1,2,1.5,1,"27 2010","8M71098",17.798,29.54,3.38574527710323,2.87908609143467,0
"947","8M71204",2171,2171,"m",27,1,"Hestmannøy",2010,2012,0,1,1,0.707106781186547,2,2,0.5,2,"27 2010","8M71204",19.09,30.6,3.42100000895834,2.94916463773766,0.693147180559945
"948","8M71206",2173,2173,"m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,2,0.5,1,"27 2010","8M71206",19.9,31.4,3.44680789291421,2.99071973173045,0
"949","8M71212",2177,2177,"f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M71212",18.665,32.25,3.47351804324178,2.92665011236655,0
"950","8M71250",2190,2190,"m",26,1,"Gjerøy",2010,2012,0,4,2.73205080756888,0.806898221355073,1,2,2,1.5,"26 2010","8M71250",20.1666666666667,30.7666666666667,3.4264318528407,3.00403107636869,0.405465108108164
"951","8M71253",2191,2191,"m",20,1,"Nesøy",2010,2010,0,1,1,1,1,1,1,1,"20 2010","8M71253",20.24,29.9,3.39785848039664,3.00766084441926,0
"952","8M71281",2200,2200,"f",26,1,"Gjerøy",2010,2011,0,5,5,1,1,1,5,1,"26 2010","8M71281",19.46,30.9,3.4307561839037,2.96836107675786,0
"953","8M71285",2202,2202,"m",26,1,"Gjerøy",2010,2011,0,2,2,1,1,1,2,1,"26 2010","8M71285",18.85,32.6,3.48431228837266,2.93651291389402,0
"954","8M71286",2203,2203,"f",26,1,"Gjerøy",2010,2012,0,1,1,0.707106781186547,2,2,0.5,2,"26 2010","8M71286",19.94,30.5,3.41772668361337,2.99272776453369,0.693147180559945
