year,flok_year,flok,ringnr,firstyear,lastyear,ageclass,survival,totalrecruits,gensex,type,age,age2,year2,ob,mean.pop,rel.pop,agec,agesq
1998,27 1998,27,8681452,1997,1998,0,0,0,m,1,0,1,5,82,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681409,1997,1998,0,0,0,f,1,0,1,5,83,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8730441,1998,2000,0,1,0,m,1,0,1,6,84,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681077,1998,1998,0,0,1,f,1,0,1,6,85,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8730437,1998,1999,0,1,1,m,1,0,1,6,86,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681132,1997,1998,0,0,0,f,1,0,1,5,87,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8651754,1996,1998,1,0,2,m,1,1,2,4,88,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8651997,1997,1999,1,1,2,m,1,1,2,5,89,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8681012,1997,1999,0,1,1,m,1,0,1,5,90,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681025,1997,1998,0,0,1,f,1,0,1,5,91,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8651869,1996,1998,1,0,1,f,1,1,2,4,92,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8681075,1998,1999,0,1,1,f,1,0,1,6,93,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681272,1997,1998,0,0,0,f,1,0,1,5,94,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8651952,1996,1998,1,0,0,f,1,1,2,4,95,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8681039,1997,1998,0,0,2,f,1,0,1,5,96,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681024,1997,1998,0,0,0,m,1,0,1,5,97,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681268,1997,1999,0,1,1,m,1,0,1,5,98,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681034,1997,2000,0,1,1,f,1,0,1,5,99,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681414,1997,1998,0,0,2,f,1,0,1,5,100,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8651948,1996,1999,1,1,3,m,1,1,2,4,101,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8730436,1998,1998,0,0,1,f,1,0,1,6,102,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681033,1997,1998,0,0,0,m,1,0,1,5,103,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681464,1997,1998,1,0,3,f,1,1,2,5,104,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8573606,1993,1998,1,0,1,f,1,4,5,1,105,2.00509627759898,-0.494493397937309,3,16
1998,27 1998,27,8651701,1995,1998,1,0,1,m,1,2,3,3,106,2.00509627759898,-0.494493397937309,3,4
1998,27 1998,27,8414806,1993,1998,1,0,3,m,1,5,6,1,107,2.00509627759898,-0.494493397937309,3,25
1998,27 1998,27,8681042,1997,1999,0,1,2,f,1,0,1,5,108,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681028,1997,2000,0,1,1,f,1,0,1,5,109,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8651743,1996,1999,1,1,2,m,1,1,2,4,110,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8681044,1997,1999,0,1,0,f,1,0,1,5,111,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681041,1997,1998,0,0,0,m,1,0,1,5,112,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8598748,1995,2000,1,1,0,f,1,2,3,3,113,2.00509627759898,-0.494493397937309,3,4
1998,27 1998,27,8681447,1997,1998,0,0,2,f,1,0,1,5,114,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8730517,1998,1998,0,0,2,m,1,0,1,6,115,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8651870,1996,2000,1,1,1,f,1,1,2,4,116,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8730518,1998,1999,0,1,0,f,1,0,1,6,117,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681403,1997,2002,0,1,1,m,1,0,1,5,118,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681074,1998,1998,0,0,1,m,1,0,1,6,119,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8651695,1996,1998,1,0,2,f,1,1,2,4,120,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8681369,1997,1998,0,0,0,m,1,0,1,5,121,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681029,1997,2001,0,1,2,f,1,0,1,5,122,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681355,1997,1998,0,0,0,m,1,0,1,5,123,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8651998,1997,2002,1,1,1,m,1,1,2,5,124,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8681076,1998,1998,0,0,1,f,1,0,1,6,125,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8537728,1994,2001,1,1,3,f,1,3,4,2,126,2.00509627759898,-0.494493397937309,3,9
1998,27 1998,27,8681370,1997,1999,0,1,0,m,1,0,1,5,127,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8573896,1994,2001,1,1,6,m,1,3,4,2,128,2.00509627759898,-0.494493397937309,3,9
1998,27 1998,27,8681415,1997,1999,0,1,1,f,1,0,1,5,129,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681462,1997,2000,0,1,1,m,1,0,1,5,130,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681466,1997,1998,0,0,2,m,1,0,1,5,131,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681454,1997,1999,0,1,1,m,1,0,1,5,132,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8732600,1998,2000,0,1,0,m,1,0,1,6,133,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681317,1997,2000,0,1,0,f,1,0,1,5,134,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681095,1998,2003,0,1,0,m,1,0,1,6,135,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681037,1997,2001,0,1,2,m,1,0,1,5,136,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681413,1997,1998,0,0,1,f,1,0,1,5,137,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8651868,1996,1998,1,0,0,f,1,1,2,4,138,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8730454,1998,1999,0,1,4,m,1,0,1,6,139,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8573603,1993,1998,1,0,0,f,1,4,5,1,140,2.00509627759898,-0.494493397937309,3,16
1998,27 1998,27,8730453,1998,1998,0,0,1,f,1,0,1,6,141,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8730443,1998,1999,0,1,0,m,1,0,1,6,142,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681180,1997,1998,0,0,0,m,1,0,1,5,143,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8651975,1997,1998,1,0,2,f,1,1,2,5,144,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8681416,1997,1999,0,1,0,f,1,0,1,5,145,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681038,1997,2001,0,1,1,m,1,0,1,5,146,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8651875,1996,1998,1,0,0,f,1,1,2,4,147,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8681397,1997,1998,0,0,0,m,1,0,1,5,148,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681027,1997,1998,0,0,0,m,1,0,1,5,149,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8681147,1997,1998,0,0,0,m,1,0,1,5,150,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8651979,1997,2000,1,1,2,m,1,1,2,5,151,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8681371,1997,1998,0,0,0,f,1,0,1,5,152,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8573966,1994,1999,1,1,0,m,1,3,4,2,153,2.00509627759898,-0.494493397937309,3,9
1998,27 1998,27,8681469,1997,1998,0,0,0,m,1,0,1,5,154,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8651876,1996,1998,1,0,2,m,1,1,2,4,155,2.00509627759898,-0.494493397937309,2,1
1998,27 1998,27,8681181,1997,1998,0,0,1,m,1,0,1,5,156,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8730503,1998,1999,0,1,2,f,1,0,1,6,157,2.00509627759898,-0.494493397937309,1,0
1998,27 1998,27,8730442,1998,1998,0,0,1,f,1,0,1,6,158,2.00509627759898,-0.494493397937309,1,0
1998,28 1998,28,8573872,1994,1999,1,1,3,m,1,4,5,2,159,0.066270079853118,-0.09683829042939,3,16
1998,28 1998,28,8681056,1998,1999,0,1,0,f,1,0,1,6,160,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8598594,1996,1998,1,0,0,m,1,1,2,4,161,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8681208,1997,1998,0,0,0,m,1,0,1,5,162,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8598602,1994,2000,1,1,1,m,1,3,4,2,163,0.066270079853118,-0.09683829042939,3,9
1998,28 1998,28,8598907,1995,1998,1,0,2,f,1,2,3,3,164,0.066270079853118,-0.09683829042939,3,4
1998,28 1998,28,8681320,1997,1999,1,1,0,f,1,1,2,5,165,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8681101,1997,2002,1,1,2,f,1,1,2,5,166,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8651898,1996,1999,1,1,4,f,1,1,2,4,167,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8681352,1997,1998,0,0,0,m,1,0,1,5,168,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8681342,1997,1999,0,1,0,m,1,0,1,5,169,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8598595,1996,1998,1,0,0,m,1,1,2,4,170,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8681468,1997,1998,0,0,0,m,1,0,1,5,171,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8651566,1996,1999,1,1,0,f,1,1,2,4,172,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8730902,1998,1999,0,1,1,m,1,0,1,6,173,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8573874,1994,1998,1,0,1,m,1,3,4,2,174,0.066270079853118,-0.09683829042939,3,9
1998,28 1998,28,8681057,1998,1998,0,0,0,m,1,0,1,6,175,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8573683,1994,1999,1,1,0,f,1,4,5,2,176,0.066270079853118,-0.09683829042939,3,16
1998,28 1998,28,8598596,1996,1998,1,0,0,m,1,1,2,4,177,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8681121,1997,1999,0,1,0,f,1,0,1,5,178,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8651522,1996,1998,1,0,0,f,1,1,2,4,179,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8651658,1996,1998,1,0,0,m,1,1,2,4,180,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8651761,1996,1998,1,0,0,m,1,1,2,4,181,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8681059,1998,2000,0,1,1,m,1,0,1,6,182,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8414812,1993,1999,1,1,4,f,1,5,6,1,183,0.066270079853118,-0.09683829042939,3,25
1998,28 1998,28,8681438,1997,1999,0,1,0,f,1,0,1,5,184,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8573515,1993,1998,1,0,2,m,1,4,5,1,185,0.066270079853118,-0.09683829042939,3,16
1998,28 1998,28,8681055,1998,1998,0,0,0,f,1,0,1,6,186,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8681097,1998,1998,0,0,0,f,1,0,1,6,187,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8598614,1994,1999,1,1,0,m,1,3,4,2,188,0.066270079853118,-0.09683829042939,3,9
1998,28 1998,28,8651665,1996,2001,1,1,0,m,1,1,2,4,189,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8681098,1998,1998,0,0,0,f,1,0,1,6,190,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8681434,1997,1998,0,0,0,m,1,0,1,5,191,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8681436,1997,1999,0,1,1,f,1,0,1,5,192,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8651586,1996,1998,1,0,0,m,1,1,2,4,193,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8651524,1996,1998,1,0,0,m,1,2,3,4,194,0.066270079853118,-0.09683829042939,3,4
1998,28 1998,28,8651525,1996,1999,1,1,1,m,1,2,3,4,195,0.066270079853118,-0.09683829042939,3,4
1998,28 1998,28,8598849,1995,1998,1,0,2,m,1,2,3,3,196,0.066270079853118,-0.09683829042939,3,4
1998,28 1998,28,8681321,1997,2000,0,1,0,m,1,0,1,5,197,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8651656,1996,1998,1,0,0,m,1,1,2,4,198,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8651738,1996,1998,1,0,0,m,1,1,2,4,199,0.066270079853118,-0.09683829042939,2,1
1998,28 1998,28,8681322,1997,2001,0,1,0,m,1,0,1,5,200,0.066270079853118,-0.09683829042939,1,0
1998,28 1998,28,8598501,1994,1999,1,1,1,f,1,3,4,2,201,0.066270079853118,-0.09683829042939,3,9
1998,28 1998,28,8598593,1996,1998,1,0,0,f,1,1,2,4,202,0.066270079853118,-0.09683829042939,2,1
1998,38 1998,38,8732254,1998,2002,0,1,3,f,1,0,1,6,203,-0.626020677259115,-0.469768728040444,1,0
1998,38 1998,38,8732255,1998,1998,0,0,3,m,1,0,1,6,204,-0.626020677259115,-0.469768728040444,1,0
1999,20 1999,20,8651884,1996,1999,1,0,0,m,1,2,3,4,205,-0.714617411056216,-0.041207783161443,3,4
1999,20 1999,20,8681423,1997,1999,1,0,1,m,1,1,2,5,206,-0.714617411056216,-0.041207783161443,2,1
1999,20 1999,20,8537699,1994,1999,1,0,1,m,1,4,5,2,207,-0.714617411056216,-0.041207783161443,3,16
1999,20 1999,20,8651621,1996,2000,1,1,0,f,1,2,3,4,208,-0.714617411056216,-0.041207783161443,3,4
1999,20 1999,20,8651576,1996,2000,1,1,2,m,1,3,4,4,209,-0.714617411056216,-0.041207783161443,3,9
1999,20 1999,20,8537700,1994,2001,1,1,1,m,1,4,5,2,210,-0.714617411056216,-0.041207783161443,3,16
1999,20 1999,20,8681259,1997,2000,1,1,0,m,1,1,2,5,211,-0.714617411056216,-0.041207783161443,2,1
1999,20 1999,20,8681419,1997,2002,1,1,1,f,1,1,2,5,212,-0.714617411056216,-0.041207783161443,2,1
1999,20 1999,20,8681214,1997,2000,1,1,0,f,1,1,2,5,213,-0.714617411056216,-0.041207783161443,2,1
1999,20 1999,20,8681420,1997,2002,1,1,1,f,1,1,2,5,214,-0.714617411056216,-0.041207783161443,2,1
1999,20 1999,20,8681008,1997,2002,1,1,2,f,1,1,2,5,215,-0.714617411056216,-0.041207783161443,2,1
1999,20 1999,20,8681260,1997,2001,1,1,1,f,1,1,2,5,216,-0.714617411056216,-0.041207783161443,2,1
1999,20 1999,20,8651730,1996,2001,1,1,2,m,1,2,3,4,217,-0.714617411056216,-0.041207783161443,3,4
1999,20 1999,20,8730579,1998,2000,0,1,0,f,1,0,1,6,218,-0.714617411056216,-0.041207783161443,1,0
1999,20 1999,20,8651728,1996,2000,1,1,1,m,1,2,3,4,219,-0.714617411056216,-0.041207783161443,3,4
1999,20 1999,20,8681261,1997,2001,1,1,2,f,1,1,2,5,220,-0.714617411056216,-0.041207783161443,2,1
1999,20 1999,20,8681009,1997,2000,1,1,1,f,1,1,2,5,221,-0.714617411056216,-0.041207783161443,2,1
1999,20 1999,20,8681207,1997,2000,1,1,0,f,1,1,2,5,222,-0.714617411056216,-0.041207783161443,2,1
1999,26 1999,26,8681017,1997,2000,1,1,0,m,1,1,2,5,223,0.77195336649282,-0.190585997121671,2,1
1999,26 1999,26,8747603,1999,1999,0,0,1,f,1,0,1,7,224,0.77195336649282,-0.190585997121671,1,0
1999,26 1999,26,8732699,1998,2000,0,1,0,m,1,0,1,6,225,0.77195336649282,-0.190585997121671,1,0
1999,26 1999,26,8681183,1997,2000,1,1,1,f,1,1,2,5,226,0.77195336649282,-0.190585997121671,2,1
1999,26 1999,26,8732700,1998,2001,0,1,1,f,1,0,1,6,227,0.77195336649282,-0.190585997121671,1,0
1999,26 1999,26,8747233,1999,1999,0,0,0,f,1,0,1,7,228,0.77195336649282,-0.190585997121671,1,0
