"","ID","ringnr","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal"
"1117",1117,"8943064","f",28,1,"Indre-Kvarøy",2003,2007,0,3,1.38027756909761,0.414858041926935,2,5,0.6,3.66666666666667,"28 2003","8943064"
"1118",1118,"8943066","f",38,1,"Aldra",2003,2006,0,4,4,1,1,3,1.33333333333333,1,"38 2003","8943066"
"1120",1120,"8943080","f",26,1,"Gjerøy",2003,2003,0,1,1,1,1,1,1,1,"26 2003","8943080"
"1122",1122,"8943083","f",26,1,"Gjerøy",2003,2004,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"26 2003","8943083"
"1124",1124,"8943105","f",38,1,"Aldra",2003,2006,0,1,1,0.577350269189626,3,3,0.333333333333333,3,"38 2003","8943105"
"1125",1125,"8943106","f",38,1,"Aldra",2003,2009,0,8,1.95350163721632,0.294133327628117,2,6,1.33333333333333,3.5,"38 2003","8943106"
"1127",1127,"8943110","m",38,1,"Aldra",2003,2004,0,1,1,1,1,1,1,1,"38 2003","8943110"
"1128",1128,"8943121","m",27,1,"Hestmannøy",2003,2003,0,3,3,1,1,1,3,1,"27 2003","8943121"
"1130",1130,"8943129","f",26,1,"Gjerøy",2003,2005,0,2,1.32471795724475,0.548431757931806,2,3,0.666666666666667,2.5,"26 2003","8943129"
"1132",1132,"8943141","m",20,1,"Nesøy",2003,2004,0,3,1.73205080756888,0.5,2,2,1.5,2,"20 2003","8943141"
"1133",1133,"8943142","f",20,1,"Nesøy",2003,2005,0,1,1,0.577350269189626,3,3,0.333333333333333,3,"20 2003","8943142"
"1134",1134,"8943164","f",24,2,"Selvær",2003,2005,0,1,1,0.707106781186547,2,2,0.5,2,"24 2003","8943164"
"1137",1137,"8943402","m",27,1,"Hestmannøy",2004,2006,0,1,1,0.707106781186547,2,2,0.5,2,"27 2004","8943402"
"1141",1141,"8943429","f",23,2,"Træna",2004,2007,0,1,1,0.577350269189626,3,3,0.333333333333333,3,"23 2004","8943429"
"1143",1143,"8943458","m",20,1,"Nesøy",2004,2008,0,1,1,0.707106781186547,2,4,0.25,2,"20 2004","8943458"
"1144",1144,"8943459","f",20,1,"Nesøy",2004,2007,0,3,2.41421356237309,0.923879532511287,1,3,1,1.33333333333333,"20 2004","8943459"
"1145",1145,"8943469","f",23,2,"Træna",2004,2005,0,1,1,1,1,1,1,1,"23 2004","8943469"
"1146",1146,"8943470","f",23,2,"Træna",2004,2008,0,3,1.55377397403004,0.5,2,4,0.75,2.66666666666667,"23 2004","8943470"
"1147",1147,"8943473","f",24,2,"Selvær",2004,2008,0,7,2.02815491416789,0.350080688736727,1,5,1.4,3.28571428571429,"24 2004","8943473"
"1148",1148,"8943474","f",24,2,"Selvær",2004,2005,0,2,2,1,1,2,1,1,"24 2004","8943474"
"1149",1149,"8943475","f",23,2,"Træna",2004,2007,0,5,3,0.707106781186548,1,4,1.25,1.6,"23 2004","8943475"
"1150",1150,"8943484","f",23,2,"Træna",2004,2004,0,1,1,1,1,1,1,1,"23 2004","8943484"
"1151",1151,"8943485","m",27,1,"Hestmannøy",2004,2008,0,3,1.46557123187677,0.45032517361555,2,5,0.6,3,"27 2004","8943485"
"1152",1152,"8943486","m",27,1,"Hestmannøy",2004,2012,0,7,1.80544299164256,0.341616674610291,2,9,0.777777777777778,4.57142857142857,"27 2004","8943486"
"1154",1154,"8943498","m",23,2,"Træna",2004,2005,0,1,1,1,1,1,1,1,"23 2004","8943498"
"1156",1156,"8943578","m",23,2,"Træna",2005,2006,0,2,2,1,1,1,2,1,"23 2005","8943578"
"1159",1159,"8943735","f",27,1,"Hestmannøy",2003,2008,0,3,1.49709404876279,0.535411002569404,1,5,0.6,3.33333333333333,"27 2003","8943735"
"1160",1160,"8943736","m",28,1,"Indre-Kvarøy",2003,2005,0,1,1,1,1,2,0.5,1,"28 2003","8943736"
"1162",1162,"8943743","m",27,1,"Hestmannøy",2003,2005,0,1,1,1,1,2,0.5,1,"27 2003","8943743"
"1163",1163,"8943752","m",20,1,"Nesøy",2003,2006,0,3,1.52137970680457,0.44531351469279,2,3,1,2.66666666666667,"20 2003","8943752"
"1165",1165,"8943754","m",24,2,"Selvær",2003,2006,0,1,1,0.707106781186547,2,3,0.333333333333333,2,"24 2003","8943754"
"1166",1166,"8943756","m",24,2,"Selvær",2003,2005,0,1,1,1,1,2,0.5,1,"24 2003","8943756"
"1169",1169,"8943761","f",24,2,"Selvær",2003,2007,0,2,2,1,1,4,0.5,1,"24 2003","8943761"
"1171",1171,"8943766","m",23,2,"Træna",2003,2006,0,3,1.44224957030741,0.367437719731505,3,3,1,3,"23 2003","8943766"
"1174",1174,"8943801","m",38,1,"Aldra",2004,2009,0,8,2.3109479059376,0.411588407864467,1,6,1.33333333333333,3.25,"38 2004","8943801"
"1178",1178,"8943829","f",20,1,"Nesøy",2004,2005,0,1,1,1,1,2,0.5,1,"20 2004","8943829"
"1182",1182,"8943880","f",27,1,"Hestmannøy",2004,2007,0,2,1.32471795724475,0.548431757931806,2,3,0.666666666666667,2.5,"27 2004","8943880"
"1183",1183,"8943882","m",27,1,"Hestmannøy",2004,2005,0,1,1,1,1,1,1,1,"27 2004","8943882"
"1185",1185,"8943892","m",27,1,"Hestmannøy",2004,2008,0,1,1,1,1,5,0.2,1,"27 2004","8943892"
"1186",1186,"8943894","f",27,1,"Hestmannøy",2004,2007,0,2,1.46557123187677,0.770982798781042,1,4,0.5,2,"27 2004","8943894"
"1187",1187,"8943897","m",27,1,"Hestmannøy",2004,2008,0,7,5.01584881089355,0.926259056158746,1,4,1.75,1.85714285714286,"27 2004","8943897"
"1188",1188,"8981002","f",27,1,"Hestmannøy",2005,2007,0,1,1,1,1,2,0.5,1,"27 2005","8981002"
"1190",1190,"8981005","m",27,1,"Hestmannøy",2005,2010,0,5,2.4855839976886,0.60942267714793,1,5,1,2.2,"27 2005","8981005"
"1191",1191,"8981007","m",27,1,"Hestmannøy",2005,2007,0,5,3.56155281280883,0.871928209278037,1,2,2.5,1.4,"27 2005","8981007"
"1193",1193,"8981009","f",27,1,"Hestmannøy",2005,2008,0,1,1,0.577350269189626,3,3,0.333333333333333,3,"27 2005","8981009"
"1198",1198,"8981018","f",26,1,"Gjerøy",2005,2009,0,6,2.10938136494641,0.390717114082694,2,4,1.5,2.66666666666667,"26 2005","8981018"
