"","ID","ringnr","sex","flok","type","name","firstyear","lastyear","missing","LRS","lambda","Rep.Value","FirstAge","Long","r","GT","flok_year","animal"
"1813",1813,"8L89337","m",27,1,"Hestmannøy",2008,2011,0,5,2.4142135623731,0.561516668266344,1,3,1.66666666666667,2,"27 2008","8L89337"
"1814",1814,"8L89349","f",26,1,"Gjerøy",2008,2010,0,1,1,1,1,2,0.5,1,"26 2008","8L89349"
"1815",1815,"8L89352","m",27,1,"Hestmannøy",2008,2010,0,1,1,1,1,2,0.5,1,"27 2008","8L89352"
"1816",1816,"8L89354","m",27,1,"Hestmannøy",2008,2011,0,7,3.84732210186307,0.748373510921832,1,3,2.33333333333333,1.71428571428571,"27 2008","8L89354"
"1818",1818,"8L89358","f",26,1,"Gjerøy",2008,2010,0,1,1,1,1,2,0.5,1,"26 2008","8L89358"
"1819",1819,"8L89363","m",20,1,"Nesøy",2008,2010,0,4,2.73205080756888,0.806898221355073,1,2,2,1.5,"20 2008","8L89363"
"1820",1820,"8L89365","f",27,1,"Hestmannøy",2008,2009,0,2,2,1,1,1,2,1,"27 2008","8L89365"
"1821",1821,"8L89366","m",27,1,"Hestmannøy",2008,2012,0,1,1,0.707106781186547,2,4,0.25,2,"27 2008","8L89366"
"1822",1822,"8L89368","f",27,1,"Hestmannøy",2008,2009,0,2,2,1,1,1,2,1,"27 2008","8L89368"
"1824",1824,"8L89371","m",27,1,"Hestmannøy",2008,2012,0,8,4.19258240356725,0.642525351176499,1,4,2,1.625,"27 2008","8L89371"
"1825",1825,"8L89372","f",27,1,"Hestmannøy",2008,2011,0,2,1.46557123187677,0.770982798781042,1,3,0.666666666666667,2,"27 2008","8L89372"
"1829",1829,"8L89379","f",27,1,"Hestmannøy",2008,2009,0,1,1,1,1,1,1,1,"27 2008","8L89379"
"1831",1831,"8L89384","f",27,1,"Hestmannøy",2008,2011,0,1,1,1,1,3,0.333333333333333,1,"27 2008","8L89384"
"1834",1834,"8L89388","m",27,1,"Hestmannøy",2008,2012,0,3,1.52137970680457,0.44531351469279,2,4,0.75,2.66666666666667,"27 2008","8L89388"
"1835",1835,"8L89389","m",27,1,"Hestmannøy",2008,2011,0,4,2.14789903570479,0.628145069491339,1,3,1.33333333333333,2,"27 2008","8L89389"
"1836",1836,"8L89391","f",26,1,"Gjerøy",2008,2012,0,5,1.74553120625982,0.34169720799535,2,4,1.25,3,"26 2008","8L89391"
"1837",1837,"8L89394","f",26,1,"Gjerøy",2008,2011,0,4,1.87938524157182,0.45571413353245,2,3,1.33333333333333,2.25,"26 2008","8L89394"
"1842",1842,"8L89412","m",27,1,"Hestmannøy",2008,2009,0,2,2,1,1,1,2,1,"27 2008","8L89412"
"1843",1843,"8L89423","f",28,1,"Indre-Kvarøy",2008,2009,0,1,1,1,1,1,1,1,"28 2008","8L89423"
"1844",1844,"8L89430","m",27,1,"Hestmannøy",2008,2011,0,5,2.26953084208114,0.543262365883259,1,3,1.66666666666667,2.2,"27 2008","8L89430"
"1847",1847,"8L89434","f",27,1,"Hestmannøy",2008,2009,0,1,1,1,1,1,1,1,"27 2008","8L89434"
"1850",1850,"8L89441","m",26,1,"Gjerøy",2008,2009,0,1,1,1,1,1,1,1,"26 2008","8L89441"
"1855",1855,"8L89466","f",28,1,"Indre-Kvarøy",2008,2009,0,3,1.73205080756888,0.5,2,2,1.5,2,"28 2008","8L89466"
"1856",1856,"8L89467","f",28,1,"Indre-Kvarøy",2008,2008,0,2,2,1,1,1,2,1,"28 2008","8L89467"
"1857",1857,"8L89470","f",28,1,"Indre-Kvarøy",2008,2008,0,2,2,1,1,1,2,1,"28 2008","8L89470"
"1860",1860,"8L89502","f",27,1,"Hestmannøy",2008,2012,0,4,4,1,1,4,1,1,"27 2008","8L89502"
"1861",1861,"8L89503","f",27,1,"Hestmannøy",2008,2011,0,1,1,0.707106781186547,2,3,0.333333333333333,2,"27 2008","8L89503"
"1862",1862,"8L89507","f",27,1,"Hestmannøy",2008,2011,0,7,2.59867450788155,0.452285947890119,1,3,2.33333333333333,2.28571428571429,"27 2008","8L89507"
"1863",1863,"8L89508","m",27,1,"Hestmannøy",2008,2011,0,1,1,1,1,4,0.25,1,"27 2008","8L89508"
"1866",1866,"8L89514","m",27,1,"Hestmannøy",2008,2011,0,6,3.62736508471183,0.824901810119706,1,4,1.5,1.66666666666667,"27 2008","8L89514"
"1867",1867,"8L89516","f",27,1,"Hestmannøy",2008,2011,0,3,3,1,1,3,1,1,"27 2008","8L89516"
"1868",1868,"8L89517","f",27,1,"Hestmannøy",2008,2009,0,1,1,1,1,1,1,1,"27 2008","8L89517"
"1869",1869,"8L89518","f",27,1,"Hestmannøy",2008,2010,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"27 2008","8L89518"
"1871",1871,"8L89521","f",27,1,"Hestmannøy",2008,2011,0,1,1,1,1,3,0.333333333333333,1,"27 2008","8L89521"
"1872",1872,"8L89525","m",26,1,"Gjerøy",2008,2010,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"26 2008","8L89525"
"1875",1875,"8L89537","f",27,1,"Hestmannøy",2008,2009,0,1,1,1,1,1,1,1,"27 2008","8L89537"
"1879",1879,"8L89605","m",22,2,"Myken",2009,2011,0,5,3.56155281280883,0.871928209278037,1,2,2.5,1.4,"22 2009","8L89605"
"1880",1880,"8L89613","m",26,1,"Gjerøy",2009,2011,0,2,2,1,1,2,1,1,"26 2009","8L89613"
"1881",1881,"8L89614","m",26,1,"Gjerøy",2009,2011,0,1,1,0.707106781186547,2,2,0.5,2,"26 2009","8L89614"
"1882",1882,"8L89615","f",26,1,"Gjerøy",2009,2012,0,2,1.46557123187677,0.770982798781042,1,3,0.666666666666667,2,"26 2009","8L89615"
"1884",1884,"8L89626","f",26,1,"Gjerøy",2009,2011,0,1,1,0.577350269189626,3,3,0.333333333333333,3,"26 2009","8L89626"
"1886",1886,"8L89634","f",27,1,"Hestmannøy",2009,2011,0,3,2.41421356237309,0.923879532511287,1,2,1.5,1.33333333333333,"27 2009","8L89634"
"1888",1888,"8L89637","m",27,1,"Hestmannøy",2009,2011,0,1,1,0.707106781186547,2,2,0.5,2,"27 2009","8L89637"
"1889",1889,"8L89639","m",27,1,"Hestmannøy",2009,2010,0,2,2,1,1,1,2,1,"27 2009","8L89639"
"1890",1890,"8L89640","m",27,1,"Hestmannøy",2009,2010,0,1,1,1,1,1,1,1,"27 2009","8L89640"
"1893",1893,"8L89644","m",28,1,"Indre-Kvarøy",2009,2010,0,1,1,1,1,1,1,1,"28 2009","8L89644"
"1895",1895,"8L89646","m",28,1,"Indre-Kvarøy",2009,2010,0,4,4,1,1,1,4,1,"28 2009","8L89646"
"1900",1900,"8L89663","f",26,1,"Gjerøy",2009,2011,0,1,1,0.707106781186547,2,2,0.5,2,"26 2009","8L89663"
"1901",1901,"8L89664","m",20,1,"Nesøy",2009,2009,0,2,2,1,1,1,2,1,"20 2009","8L89664"
"1904",1904,"8L89675","f",28,1,"Indre-Kvarøy",2009,2010,0,2,2,1,1,1,2,1,"28 2009","8L89675"
"1906",1906,"8L89682","f",28,1,"Indre-Kvarøy",2009,2010,0,3,3,1,1,1,3,1,"28 2009","8L89682"
"1909",1909,"8L89690","f",27,1,"Hestmannøy",2009,2011,0,1,1,0.707106781186547,2,2,0.5,2,"27 2009","8L89690"
"1911",1911,"8L89692","f",27,1,"Hestmannøy",2009,2011,0,2,2,1,1,2,1,1,"27 2009","8L89692"
"1913",1913,"8L89708","m",26,1,"Gjerøy",2008,2011,0,7,2.19582334544565,0.330770364638777,2,3,2.33333333333333,2.57142857142857,"26 2008","8L89708"
"1915",1915,"8L89711","m",26,1,"Gjerøy",2008,2012,0,1,1,0.707106781186547,2,4,0.25,2,"26 2008","8L89711"
"1917",1917,"8L89713","m",26,1,"Gjerøy",2008,2010,0,1,1,0.707106781186547,2,2,0.5,2,"26 2008","8L89713"
"1918",1918,"8L89714","f",26,1,"Gjerøy",2008,2009,0,2,2,1,1,1,2,1,"26 2008","8L89714"
"1922",1922,"8L89721","m",26,1,"Gjerøy",2008,2010,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"26 2008","8L89721"
"1923",1923,"8L89722","f",26,1,"Gjerøy",2008,2009,0,1,1,1,1,1,1,1,"26 2008","8L89722"
"1924",1924,"8L89723","f",26,1,"Gjerøy",2008,2012,0,3,1.44224957030741,0.367437719731505,3,4,0.75,3,"26 2008","8L89723"
"1928",1928,"8L89731","f",26,1,"Gjerøy",2008,2011,0,3,2,0.707106781186547,1,3,1,1.66666666666667,"26 2008","8L89731"
"1929",1929,"8L89734","m",26,1,"Gjerøy",2008,2011,0,4,1.67169988165716,0.377557479236561,2,3,1.33333333333333,2.75,"26 2008","8L89734"
"1931",1931,"8L89741","f",27,1,"Hestmannøy",2008,2011,0,5,2.65896708191699,0.707106781186548,1,3,1.66666666666667,2,"27 2008","8L89741"
"1932",1932,"8L89742","m",27,1,"Hestmannøy",2008,2009,0,2,2,1,1,1,2,1,"27 2008","8L89742"
"1935",1935,"8L89751","f",27,1,"Hestmannøy",2008,2009,0,3,3,1,1,1,3,1,"27 2008","8L89751"
"1938",1938,"8L89754","f",27,1,"Hestmannøy",2009,2009,0,3,3,1,1,1,3,1,"27 2009","8L89754"
"1940",1940,"8L89793","m",27,1,"Hestmannøy",2009,2011,0,3,2,0.707106781186547,1,3,1,1.66666666666667,"27 2009","8L89793"
"1941",1941,"8L89797","f",27,1,"Hestmannøy",2009,2011,0,1,1,1,1,2,0.5,1,"27 2009","8L89797"
"1943",1943,"8L89808","m",27,1,"Hestmannøy",2009,2012,0,3,2.41421356237309,0.923879532511287,1,4,0.75,1.33333333333333,"27 2009","8L89808"
"1945",1945,"8L89822","f",20,1,"Nesøy",2009,2010,0,1,1,0.707106781186547,2,2,0.5,2,"20 2009","8L89822"
"1948",1948,"8L89844","m",27,1,"Hestmannøy",2009,2011,0,2,2,1,1,2,1,1,"27 2009","8L89844"
"1951",1951,"8L89848","f",27,1,"Hestmannøy",2009,2010,0,1,1,1,1,1,1,1,"27 2009","8L89848"
"1960",1960,"8L89891","f",20,1,"Nesøy",2009,2012,0,1,1,0.577350269189626,3,3,0.333333333333333,3,"20 2009","8L89891"
"1962",1962,"8L89896","m",26,1,"Gjerøy",2009,2012,0,10,4.76223749565467,0.711055115093307,1,3,3.33333333333333,1.9,"26 2009","8L89896"
"1965",1965,"8L89983","f",23,2,"Træna",2009,2010,0,1,1,1,1,1,1,1,"23 2009","8L89983"
"1969",1969,"8L89992","m",23,2,"Træna",2009,2012,0,5,1.7099759466767,0.283138492188663,3,3,1.66666666666667,3,"23 2009","8L89992"
"1971",1971,"8L89995","f",24,2,"Selvær",2009,2012,0,4,1.67169988165716,0.377557479236561,2,4,1,2.75,"24 2009","8L89995"
"1972",1972,"8L89998","f",24,2,"Selvær",2009,2011,0,1,1,0.707106781186547,2,3,0.333333333333333,2,"24 2009","8L89998"
"1974",1974,"8M31041","f",24,2,"Selvær",2009,2009,0,2,2,1,1,1,2,1,"24 2009","8M31041"
"1975",1975,"8M31084","f",23,2,"Træna",2009,2011,0,3,3,1,1,2,1.5,1,"23 2009","8M31084"
"1977",1977,"8M31126","m",23,2,"Træna",2009,2009,0,2,2,1,1,1,2,1,"23 2009","8M31126"
"1978",1978,"8M31139","f",23,2,"Træna",2009,2010,0,3,3,1,1,1,3,1,"23 2009","8M31139"
"1979",1979,"8M31164","m",23,2,"Træna",2009,2012,0,1,1,0.707106781186547,2,3,0.333333333333333,2,"23 2009","8M31164"
"1980",1980,"8M31165","m",23,2,"Træna",2009,2010,0,1,1,1,1,2,0.5,1,"23 2009","8M31165"
"1984",1984,"8M31278","f",26,1,"Gjerøy",2009,2010,0,1,1,1,1,1,1,1,"26 2009","8M31278"
"1988",1988,"8M31285","f",38,1,"Aldra",2009,2012,0,2,1.61803398874989,0.85065080835204,1,3,0.666666666666667,1.5,"38 2009","8M31285"
"1989",1989,"8M31286","m",27,1,"Hestmannøy",2009,2011,0,2,2,1,1,2,1,1,"27 2009","8M31286"
"1991",1991,"8M31290","f",27,1,"Hestmannøy",2009,2011,0,1,1,1,1,2,0.5,1,"27 2009","8M31290"
"1993",1993,"8M31293","m",27,1,"Hestmannøy",2009,2011,0,3,2,0.707106781186547,1,2,1.5,1.66666666666667,"27 2009","8M31293"
"1994",1994,"8M31294","f",27,1,"Hestmannøy",2009,2011,0,2,2,1,1,2,1,1,"27 2009","8M31294"
"1995",1995,"8M31297","f",28,1,"Indre-Kvarøy",2009,2010,0,2,2,1,1,1,2,1,"28 2009","8M31297"
"1996",1996,"8M31304","f",26,1,"Gjerøy",2009,2012,0,4,3.30277563773199,0.957092026489053,1,3,1.33333333333333,1.25,"26 2009","8M31304"
"1999",1999,"8M31317","f",26,1,"Gjerøy",2009,2010,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"26 2009","8M31317"
"2002",2002,"8M31326","f",28,1,"Indre-Kvarøy",2009,2010,0,3,3,1,1,1,3,1,"28 2009","8M31326"
"2009",2009,"8M31338","f",27,1,"Hestmannøy",2009,2011,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"27 2009","8M31338"
"2010",2010,"8M31342","m",22,2,"Myken",2009,2011,0,2,2,1,1,2,1,1,"22 2009","8M31342"
"2012",2012,"8M31350","m",26,1,"Gjerøy",2009,2010,0,2,2,1,1,1,2,1,"26 2009","8M31350"
"2015",2015,"8M31356","f",27,1,"Hestmannøy",2009,2011,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"27 2009","8M31356"
"2020",2020,"8M31370","f",27,1,"Hestmannøy",2009,2011,0,1,1,0.707106781186547,2,2,0.5,2,"27 2009","8M31370"
"2025",2025,"8M31382","f",27,1,"Hestmannøy",2009,2012,0,2,1.61803398874989,0.85065080835204,1,3,0.666666666666667,1.5,"27 2009","8M31382"
"2028",2028,"8M31387","f",22,2,"Myken",2009,2010,0,3,3,1,1,1,3,1,"22 2009","8M31387"
"2031",2031,"8M31398","f",27,1,"Hestmannøy",2009,2011,0,1,1,1,1,2,0.5,1,"27 2009","8M31398"
"2036",2036,"8M31433","m",26,1,"Gjerøy",2009,2010,0,3,3,1,1,1,3,1,"26 2009","8M31433"
"2042",2042,"8M31463","f",27,1,"Hestmannøy",2009,2011,0,1,1,1,1,2,0.5,1,"27 2009","8M31463"
"2047",2047,"8M31484","m",27,1,"Hestmannøy",2009,2011,0,1,1,1,1,2,0.5,1,"27 2009","8M31484"
"2049",2049,"8M31495","f",26,1,"Gjerøy",2009,2011,0,3,3,1,1,2,1.5,1,"26 2009","8M31495"
"2054",2054,"8M31509","f",26,1,"Gjerøy",2009,2011,0,4,3.30277563773199,0.957092026489053,1,2,2,1.25,"26 2009","8M31509"
"2055",2055,"8M31511","f",27,1,"Hestmannøy",2009,2011,0,1,1,0.707106781186547,2,2,0.5,2,"27 2009","8M31511"
"2057",2057,"8M31520","m",22,2,"Myken",2009,2011,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"22 2009","8M31520"
"2062",2062,"8M31528","m",26,1,"Gjerøy",2009,2010,0,5,5,1,1,1,5,1,"26 2009","8M31528"
"2066",2066,"8M31541","m",20,1,"Nesøy",2009,2009,0,3,3,1,1,1,3,1,"20 2009","8M31541"
"2067",2067,"8M31542","f",28,1,"Indre-Kvarøy",2009,2011,0,4,4,1,1,2,2,1,"28 2009","8M31542"
"2068",2068,"8M31543","m",28,1,"Indre-Kvarøy",2009,2010,0,1,1,1,1,1,1,1,"28 2009","8M31543"
"2069",2069,"8M31544","m",28,1,"Indre-Kvarøy",2009,2010,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"28 2009","8M31544"
"2070",2070,"8M31545","f",28,1,"Indre-Kvarøy",2009,2010,0,1,1,1,1,1,1,1,"28 2009","8M31545"
"2071",2071,"8M31546","m",28,1,"Indre-Kvarøy",2009,2010,0,1,1,1,1,1,1,1,"28 2009","8M31546"
"2073",2073,"8M31548","m",28,1,"Indre-Kvarøy",2009,2011,0,2,2,1,1,2,1,1,"28 2009","8M31548"
"2075",2075,"8M31551","m",28,1,"Indre-Kvarøy",2009,2010,0,2,2,1,1,1,2,1,"28 2009","8M31551"
"2076",2076,"8M31552","f",28,1,"Indre-Kvarøy",2009,2009,0,1,1,1,1,1,1,1,"28 2009","8M31552"
"2078",2078,"8M31561","f",27,1,"Hestmannøy",2009,2010,0,2,2,1,1,1,2,1,"27 2009","8M31561"
"2080",2080,"8M31568","f",27,1,"Hestmannøy",2009,2010,0,1,1,1,1,1,1,1,"27 2009","8M31568"
"2082",2082,"8M31583","m",27,1,"Hestmannøy",2009,2012,0,1,1,0.707106781186547,2,3,0.333333333333333,2,"27 2009","8M31583"
"2083",2083,"8M31585","f",27,1,"Hestmannøy",2009,2011,0,3,3,1,1,2,1.5,1,"27 2009","8M31585"
"2084",2084,"8M31591","f",27,1,"Hestmannøy",2009,2011,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"27 2009","8M31591"
"2085",2085,"8M31602","f",27,1,"Hestmannøy",2009,2010,0,2,2,1,1,1,2,1,"27 2009","8M31602"
"2087",2087,"8M31622","m",26,1,"Gjerøy",2009,2011,0,4,3.30277563773199,0.957092026489053,1,2,2,1.25,"26 2009","8M31622"
"2089",2089,"8M31627","m",26,1,"Gjerøy",2009,2011,0,2,2,1,1,2,1,1,"26 2009","8M31627"
"2090",2090,"8M31632","m",27,1,"Hestmannøy",2009,2011,0,1,1,1,1,2,0.5,1,"27 2009","8M31632"
"2091",2091,"8M31634","m",26,1,"Gjerøy",2009,2012,0,1,1,1,1,3,0.333333333333333,1,"26 2009","8M31634"
"2092",2092,"8M31637","f",38,1,"Aldra",2009,2010,0,1,1,1,1,1,1,1,"38 2009","8M31637"
"2093",2093,"8M31641","m",38,1,"Aldra",2009,2012,0,5,2,0.408248290463864,2,3,1.66666666666667,2.4,"38 2009","8M31641"
"2096",2096,"8M31706","f",26,1,"Gjerøy",2009,2012,0,1,1,1,1,3,0.333333333333333,1,"26 2009","8M31706"
"2097",2097,"8M31711","f",26,1,"Gjerøy",2009,2010,0,2,2,1,1,1,2,1,"26 2009","8M31711"
"2099",2099,"8M31713","f",27,1,"Hestmannøy",2009,2011,0,2,2,1,1,2,1,1,"27 2009","8M31713"
"2102",2102,"8M31716","f",28,1,"Indre-Kvarøy",2009,2010,0,3,3,1,1,1,3,1,"28 2009","8M31716"
"2103",2103,"8M31717","f",28,1,"Indre-Kvarøy",2009,2010,0,2,1.4142135623731,0.577350269189626,2,2,1,2,"28 2009","8M31717"
"2104",2104,"8M31730","m",24,2,"Selvær",2009,2010,0,1,1,1,1,1,1,1,"24 2009","8M31730"
"2106",2106,"8M31732","m",24,2,"Selvær",2009,2012,0,5,4.23606797749979,0.97324898946773,1,3,1.66666666666667,1.2,"24 2009","8M31732"
"2107",2107,"8M31733","m",24,2,"Selvær",2009,2012,0,1,1,0.707106781186547,2,3,0.333333333333333,2,"24 2009","8M31733"
"2109",2109,"8M31738","m",24,2,"Selvær",2009,2010,0,2,2,1,1,1,2,1,"24 2009","8M31738"
"2116",2116,"8M31844","m",20,1,"Nesøy",2010,2011,0,1,1,1,1,1,1,1,"20 2010","8M31844"
"2123",2123,"8M31875","m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,2,0.5,1,"27 2010","8M31875"
"2125",2125,"8M31922","m",27,1,"Hestmannøy",2010,2012,0,6,2.37442376320906,0.472172000002155,1,3,2,2.33333333333333,"27 2010","8M31922"
"2126",2126,"8M31923","f",27,1,"Hestmannøy",2010,2011,0,4,2.73205080756888,0.806898221355073,1,2,2,1.5,"27 2010","8M31923"
"2128",2128,"8M31925","f",27,1,"Hestmannøy",2010,2012,0,2,2,1,1,3,0.666666666666667,1,"27 2010","8M31925"
"2129",2129,"8M31926","f",27,1,"Hestmannøy",2010,2011,0,1,1,0.707106781186547,2,2,0.5,2,"27 2010","8M31926"
"2130",2130,"8M31927","m",27,1,"Hestmannøy",2010,2011,0,3,2,0.707106781186547,1,2,1.5,1.66666666666667,"27 2010","8M31927"
"2134",2134,"8M31936","f",26,1,"Gjerøy",2010,2011,0,7,4.64575131106459,0.840070779091306,1,2,3.5,1.42857142857143,"26 2010","8M31936"
"2137",2137,"8M31939","m",27,1,"Hestmannøy",2010,2011,0,1,1,0.707106781186547,2,2,0.5,2,"27 2010","8M31939"
"2138",2138,"8M31940","m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,2,0.5,1,"27 2010","8M31940"
"2139",2139,"8M31941","f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,2,0.5,1,"27 2010","8M31941"
"2140",2140,"8M31943","m",28,1,"Indre-Kvarøy",2010,2011,0,2,2,1,1,2,1,1,"28 2010","8M31943"
"2145",2145,"8M31969","f",27,1,"Hestmannøy",2010,2011,0,2,2,1,1,2,1,1,"27 2010","8M31969"
"2147",2147,"8M31973","f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M31973"
"2149",2149,"8M31993","f",22,2,"Myken",2010,2011,0,1,1,1,1,1,1,1,"22 2010","8M31993"
"2158",2158,"8M71077","m",26,1,"Gjerøy",2010,2012,0,1,1,1,1,2,0.5,1,"26 2010","8M71077"
"2163",2163,"8M71089","m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M71089"
"2168",2168,"8M71098","m",27,1,"Hestmannøy",2010,2012,0,3,3,1,1,2,1.5,1,"27 2010","8M71098"
"2171",2171,"8M71204","m",27,1,"Hestmannøy",2010,2012,0,1,1,0.707106781186547,2,2,0.5,2,"27 2010","8M71204"
"2173",2173,"8M71206","m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,2,0.5,1,"27 2010","8M71206"
"2177",2177,"8M71212","f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M71212"
"2190",2190,"8M71250","m",26,1,"Gjerøy",2010,2012,0,4,2.73205080756888,0.806898221355073,1,2,2,1.5,"26 2010","8M71250"
"2191",2191,"8M71253","m",20,1,"Nesøy",2010,2010,0,1,1,1,1,1,1,1,"20 2010","8M71253"
"2200",2200,"8M71281","f",26,1,"Gjerøy",2010,2011,0,5,5,1,1,1,5,1,"26 2010","8M71281"
"2202",2202,"8M71285","m",26,1,"Gjerøy",2010,2011,0,2,2,1,1,1,2,1,"26 2010","8M71285"
"2203",2203,"8M71286","f",26,1,"Gjerøy",2010,2012,0,1,1,0.707106781186547,2,2,0.5,2,"26 2010","8M71286"
"2205",2205,"8M71289","f",26,1,"Gjerøy",2010,2011,0,2,2,1,1,1,2,1,"26 2010","8M71289"
"2206",2206,"8M71290","f",28,1,"Indre-Kvarøy",2010,2011,0,1,1,1,1,1,1,1,"28 2010","8M71290"
"2217",2217,"8M71303","f",28,1,"Indre-Kvarøy",2010,2011,0,1,1,1,1,1,1,1,"28 2010","8M71303"
"2221",2221,"8M71307","m",28,1,"Indre-Kvarøy",2010,2011,0,1,1,1,1,1,1,1,"28 2010","8M71307"
"2224",2224,"8M71312","f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M71312"
"2229",2229,"8M71318","m",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M71318"
"2230",2230,"8M71321","f",27,1,"Hestmannøy",2010,2011,0,1,1,1,1,1,1,1,"27 2010","8M71321"
"2231",2231,"8M71322","m",27,1,"Hestmannøy",2010,2012,0,1,1,0.707106781186547,2,2,0.5,2,"27 2010","8M71322"
"2243",2243,"8M71505","m",38,1,"Aldra",2011,2011,0,2,2,1,1,1,2,1,"38 2011","8M71505"
"2246",2246,"8M71511","m",22,2,"Myken",2011,2011,0,1,1,1,1,1,1,1,"22 2011","8M71511"
"2260",2260,"8M71596","f",26,1,"Gjerøy",2011,2011,0,4,4,1,1,1,4,1,"26 2011","8M71596"
"2280",2280,"8M71761","f",24,2,"Selvær",2011,2012,0,6,6,1,1,1,6,1,"24 2011","8M71761"
"2289",2289,"8M71831","m",26,1,"Gjerøy",2011,2012,0,2,2,1,1,1,2,1,"26 2011","8M71831"
"2292",2292,"8M71836","f",26,1,"Gjerøy",2011,2012,0,1,1,1,1,1,1,1,"26 2011","8M71836"
"2293",2293,"8M71864","m",27,1,"Hestmannøy",2011,2011,0,1,1,1,1,1,1,1,"27 2011","8M71864"
"2300",2300,"8M72001","f",23,2,"Træna",2010,2010,0,2,2,1,1,1,2,1,"23 2010","8M72001"
"2304",2304,"8M72013","f",24,2,"Selvær",2010,2010,0,3,3,1,1,1,3,1,"24 2010","8M72013"
"2305",2305,"8M72014","m",24,2,"Selvær",2010,2010,0,1,1,1,1,1,1,1,"24 2010","8M72014"
"2306",2306,"8M72015","f",23,2,"Træna",2010,2011,0,1,1,1,1,1,1,1,"23 2010","8M72015"
"2309",2309,"8M72018","m",23,2,"Træna",2010,2010,0,2,2,1,1,1,2,1,"23 2010","8M72018"
"2310",2310,"8M72019","f",23,2,"Træna",2010,2010,0,3,3,1,1,1,3,1,"23 2010","8M72019"
"2312",2312,"8M72022","m",23,2,"Træna",2010,2012,0,4,2.30277563773199,0.60889367553119,1,2,2,1.75,"23 2010","8M72022"
"2314",2314,"8M72024","m",24,2,"Selvær",2010,2011,0,1,1,1,1,1,1,1,"24 2010","8M72024"
"2320",2320,"8M72038","m",23,2,"Træna",2010,2011,0,1,1,1,1,1,1,1,"23 2010","8M72038"
"2326",2326,"8M72081","f",24,2,"Selvær",2010,2011,0,1,1,1,1,1,1,1,"24 2010","8M72081"
"2330",2330,"8M72120","f",24,2,"Selvær",2010,2010,0,1,1,1,1,1,1,1,"24 2010","8M72120"
"2335",2335,"8M72136","f",23,2,"Træna",2010,2011,0,3,3,1,1,2,1.5,1,"23 2010","8M72136"
"2337",2337,"8M72144","m",23,2,"Træna",2010,2011,0,2,2,1,1,1,2,1,"23 2010","8M72144"
"2340",2340,"8M72176","f",23,2,"Træna",2010,2011,0,1,1,1,1,1,1,1,"23 2010","8M72176"
"2342",2342,"8M72179","m",23,2,"Træna",2010,2011,0,1,1,1,1,1,1,1,"23 2010","8M72179"
"2345",2345,"8M72186","f",24,2,"Selvær",2010,2012,0,1,1,1,1,2,0.5,1,"24 2010","8M72186"
"2349",2349,"8M72224","f",24,2,"Selvær",2010,2011,0,1,1,1,1,1,1,1,"24 2010","8M72224"
"2352",2352,"8M72235","m",23,2,"Træna",2010,2011,0,1,1,1,1,1,1,1,"23 2010","8M72235"
"2361",2361,"8M72269","f",23,2,"Træna",2010,2012,0,5,2.56155281280883,0.539285596264911,1,2,2.5,1.8,"23 2010","8M72269"
"2365",2365,"8M72274","f",23,2,"Træna",2010,2011,0,1,1,1,1,1,1,1,"23 2010","8M72274"
"2376",2376,"8M72295","m",23,2,"Træna",2010,2012,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"23 2010","8M72295"
"2378",2378,"8M72323","m",24,2,"Selvær",2010,2011,0,1,1,1,1,2,0.5,1,"24 2010","8M72323"
"2380",2380,"8M72325","f",24,2,"Selvær",2010,2012,0,1,1,1,1,2,0.5,1,"24 2010","8M72325"
"2381",2381,"8M72326","f",24,2,"Selvær",2010,2012,0,4,3.30277563773199,0.957092026489053,1,3,1.33333333333333,1.25,"24 2010","8M72326"
"2382",2382,"8M72327","f",24,2,"Selvær",2010,2011,0,3,3,1,1,1,3,1,"24 2010","8M72327"
"2384",2384,"8M72329","m",24,2,"Selvær",2010,2012,0,1,1,0.707106781186547,2,2,0.5,2,"24 2010","8M72329"
"2386",2386,"8M72602","f",27,1,"Hestmannøy",2010,2011,0,2,1.61803398874989,0.85065080835204,1,2,1,1.5,"27 2010","8M72602"
